E2E:25875 Classify:17676 Shuffle:47 Extract:592 Split:2782 E2E:25875
E2E:25864 Classify:17465 Shuffle:44 Extract:270 Split:2628 E2E:25864
E2E:25769 Classify:18102 Shuffle:44 Extract:354 Split:2532 E2E:25769
E2E:25723 Classify:17512 Shuffle:43 Extract:330 Split:2431 E2E:25723
E2E:25809 Classify:17605 Shuffle:53 Extract:297 Split:2463 E2E:25809
E2E:25741 Classify:17570 Shuffle:54 Extract:273 Split:2450 E2E:25741
E2E:25557 Classify:18257 Shuffle:62 Extract:586 Split:2404 E2E:25557
E2E:25746 Classify:17594 Shuffle:48 Extract:431 Split:2399 E2E:25746
E2E:26014 Classify:19623 Shuffle:49 Extract:450 Split:2567 E2E:26014
E2E:26223 Classify:18067 Shuffle:41 Extract:453 Split:2504 E2E:26223
E2E:25754 Classify:17652 Shuffle:50 Extract:310 Split:2471 E2E:25754
E2E:25851 Classify:17443 Shuffle:46 Extract:291 Split:2595 E2E:25851
E2E:25463 Classify:17860 Shuffle:47 Extract:296 Split:2604 E2E:25463
E2E:25836 Classify:17619 Shuffle:39 Extract:350 Split:2463 E2E:25836
E2E:23868 Classify:17045 Shuffle:68 Extract:307 Split:2471 E2E:23868
E2E:24025 Classify:16951 Shuffle:46 Extract:271 Split:2497 E2E:24025
E2E:23784 Classify:18052 Shuffle:53 Extract:875 Split:2422 E2E:23784
E2E:24272 Classify:17197 Shuffle:64 Extract:687 Split:2692 E2E:24272
E2E:24803 Classify:17260 Shuffle:41 Extract:744 Split:2479 E2E:24803
E2E:24844 Classify:19430 Shuffle:48 Extract:331 Split:2180 E2E:24844
E2E:24734 Classify:16961 Shuffle:48 Extract:314 Split:2506 E2E:24734
E2E:24173 Classify:17583 Shuffle:47 Extract:317 Split:2591 E2E:24173
E2E:26471 Classify:18398 Shuffle:46 Extract:342 Split:2302 E2E:26471
E2E:25148 Classify:17066 Shuffle:46 Extract:386 Split:2892 E2E:25148
E2E:24992 Classify:17912 Shuffle:37 Extract:276 Split:2386 E2E:24992
E2E:26686 Classify:18464 Shuffle:54 Extract:320 Split:2445 E2E:26686
